titulo,isbn,autores,editora,dataPublicacao,idioma,numeroPaginas
A República - Parte 1,9783785651391,Robert Cialdini,Bloom,1948-11-21,por,1057
Design Patterns - 2017,9787065920610,Yuval Noah Harari,Intrínseca,1902-07-14,fra,1477
Designing Distributed Systems - Edição Comemorativa,9780543911193,Joseph Heller,Iluminuras,1965-06-19,eng,214
Introduction to Algorithms - Patterns and Practices,9789003274755,Erich Gamma,Bantam Spectra,1907-01-18,spa,241
Brave New World - Parte 1,9785795236537,João Guimarães Rosa,Springer,2001-05-19,eng,859
Ser e Tempo - Edição de Bolso,9780460628006,Seth Godin;Carl Sagan,Martins Fontes,1972-10-16,por,471
Effective Java - Essentials,9788966833191,Hans Rosling;Anton Chekhov,Yale University Press,1937-04-08,eng,1396
A Origem das Espécies - Nível Avançado,9789570800661,Jim Collins,Wiley,1950-11-24,spa,88
The Time Machine - 2022,9784510148377,Neal Ford,Record,1970-04-12,zho,445
Dune - Edição Comemorativa,9783488827680,Christopher Bishop;Yoshua Bengio,Martins Fontes,1979-08-14,deu,120
Macunaíma - For Beginners,9785969138810,Chris Richardson,Knopf,1930-11-23,fra,532
Fathers and Sons - Edição Definitiva,9784767636412,Robert Tibshirani,Puffin Books,1986-12-26,por,704
Manual de Epicteto - in Depth,9786098219944,Chris Richardson;Max Tegmark,Farrar Straus and Giroux,1932-05-11,eng,885
Anna Karenina - 2ª Edição,9780856496202,Betsy Beyer,Intrínseca,2021-09-26,eng,1376
The Immortal Life of Henrietta Lacks - Edição Revisada,9786923862239,Len Bass,Dutton,1982-07-19,deu,1343
Kubernetes in Action - 6ª Edição,9783137677017,Clarice Lispector;Christopher Bishop,Tor Books,1925-02-06,eng,1183
High Output Management - Edição Especial,9783251624492,Daniel Kahneman,Cosac Naify,1941-05-10,spa,413
PostgreSQL Up and Running,9784862191182,Alex Xu,Farrar Straus and Giroux,1919-06-21,fra,946
Introduction to Algorithms - Tomo I,9782898603051,Trevor Hastie,Random House,1914-10-04,eng,1218
Flash Boys - 2016,9786560383272,Sam Newman,Cosac Naify,2000-03-14,eng,1492
White Noise - Patterns and Practices,9785737218409,Erich Gamma,Rocco,1920-10-18,eng,997
Code Breaker - 4ª Edição,9782720791802,David Foster Wallace;Johann Hari;Carol Dweck,Planeta,2014-03-08,eng,989
Cem Anos de Solidão - Vol. 3,9783177928742,Neal Ford,Orbit,2001-02-03,por,781
Hyperion - Vol. 4,9789586397995,Brian Greene,Penguin Books,1923-03-11,por,165
Crítica da Razão Pura - Vol. 3,9781620224809,Orson Scott Card;Daniel Kahneman,Pragmatic Bookshelf,1960-12-27,zho,577
The Innovator's Dilemma - Edição Ampliada,9786287877092,Kurt Vonnegut,Martins Fontes,1907-05-05,por,1441
Rendezvous with Rama - Cookbook,9781020304729,Jonathan Franzen;Kevin Wayne,Alfaguara,1933-11-03,eng,348
Clean Code - Applied,9783636927712,James Baldwin,Farrar Straus and Giroux,2001-07-22,eng,707
The Dispossessed - Reference,9784717324239,Isabel Allende,MIT Press,1985-12-16,rus,1483
Domain-Driven Design - in Practice,9789435101438,William Faulkner,Vintage Books,1968-08-18,eng,1428
Dom Casmurro - Edição Definitiva,9785690806200,Adam Grant;George Orwell,HarperCollins,2008-10-11,por,456
The Hard Thing About Hard Things - Vol. 1,9784242998301,Machado de Assis;Stephen Hawking,Sams Publishing,1968-01-17,eng,453
Thinking Fast and Slow - Advanced Topics,9786217949509,Nassim Nicholas Taleb;Franz Kafka;Len Bass,Companhia das Letras,1950-03-26,por,1227
High Performance MySQL - Advanced Topics,9784762669699,Carl Sagan,Dutton,2014-07-08,jpn,1220
Liar's Poker - 6ª Edição,9784489265860,Brené Brown,Crown,1934-06-17,eng,705
Docker Deep Dive - 6ª Edição,9787077495786,Franz Kafka,Princeton University Press,1986-06-16,por,795
The Gifts of Imperfection - Edição de Bolso,9781623706135,Christopher Bishop;Sam Newman,Norton,1996-10-18,ita,147
Thinking Fast and Slow - Patterns and Practices,9788857220772,Martin Fowler,Del Rey,1980-03-18,spa,337
Blood Meridian - Fundamentals,9780480322151,Roger Penrose,Knopf,1911-01-25,por,1062
Ficciones - 2019,9787012804932,Simon Sinek,Prentice Hall,1909-12-23,eng,1226
Manual de Epicteto - 6ª Edição,9786786770320,H.G. Wells,Packt Publishing,1988-08-12,rus,1480
Antifragile - Guia Prático,9788553603657,Carol Dweck,Cosac Naify,1944-01-05,eng,195
Sobre a Brevidade da Vida - Nível Avançado,9780743107976,Michael Feathers,Oxford University Press,2023-01-17,por,624
Competitive Programming - Edição Crítica,9789483755195,Neal Stephenson,Intrínseca,1976-01-14,eng,1430
Hands-On Machine Learning - 2017,9786273372235,Marcel Proust,HarperCollins,1955-12-15,por,451
Childhood's End - Edição Bilíngue,9787419368761,Richard Dawkins,Record,1955-05-05,spa,631
Introduction to the Theory of Computation - Edição Integral,9785918413296,Siddhartha Mukherjee;Juan Rulfo,Packt Publishing,1990-01-19,eng,579
Remote - 2018,9784887621091,Brian Greene,Harvard University Press,1956-02-05,eng,1171
Notes from Underground - Vol. 5,9782205644531,Dan Simmons;Angela Duckworth,Crown,1958-01-11,eng,1476
Algorithms - Nível Avançado,9782338862680,Roger Penrose,Farrar Straus and Giroux,2011-12-02,fra,486
Underworld - Handbook,9783684516135,Donald Knuth;Aurélien Géron,Anchor Books,1977-11-13,eng,1005
Catch-22 - Vol. 5,9784196378075,Thomas Mann,Alfaguara,1970-04-07,por,1425
Microservices Patterns - Edição Definitiva,9785636411505,Cal Newport;Thomas Mann,Addison-Wesley,1910-06-09,eng,864
A Random Walk Down Wall Street - 2016,9782881046599,Wes McKinney,Planeta,2005-01-05,por,1158
The DevOps Handbook - Parte 3,9782385641399,Gabriel García Márquez,Record,1983-07-23,spa,445
Childhood's End - Edição Anotada,9787285332934,Johann Hari,Anchor Books,1914-09-20,eng,250
The War of the Worlds - Fundamentals,9786219884082,Milton Hatoum;Clarice Lispector,Yale University Press,1954-02-08,eng,1196
Python for Data Analysis - Nova Edição,9786252814329,Mark Richards;Michael Lewis,Little Brown,2004-07-03,spa,155
Man's Search for Meaning - Guia Prático,9789016692935,Paul Clements,Bloom,1968-07-23,por,587
Fahrenheit 451 - 2021,9784415815503,J.K. Rowling;Jorge Luis Borges,Manning Publications,1972-12-27,eng,949
Orgulho e Preconceito - Edição Ilustrada,9780076577279,Kevin Wayne;Hans Rosling;Joseph Heller,Bantam Spectra,1924-10-10,eng,1276
Security Analysis - 2023,9785219266676,William Gibson,St. Martin's Press,1900-01-11,rus,999
Deep Work - 2019,9785555165220,Trevor Hastie;Don DeLillo,HarperCollins,1953-12-27,eng,1448
Dom Quixote,9785345195543,Frederick Brooks,No Starch Press,1984-09-21,eng,675
Terraform in Practice - Handbook,9780568216778,Jim Collins;Juan Rulfo,MIT Press,2013-11-26,spa,537
The War of the Worlds - Vol. 1,9787628766792,Simon Sinek,Princeton University Press,1994-02-20,por,673
The Innovator's Dilemma - Vol. 1,9787865763110,William Faulkner,Little Brown,2011-08-11,spa,905
Superintelligence - in Practice,9782918878438,Martin Kleppmann,Vintage Books,1967-04-27,eng,612
Nudge - For Beginners,9781986173117,Malcolm Gladwell,No Starch Press,1911-08-09,eng,289
The Noonday Demon - Edição Comemorativa,9784209044492,Günter Grass,Oxford University Press,1978-03-09,eng,666
A Hora da Estrela - Edição Especial,9789667142933,Max Tegmark,Bloom,1903-02-19,por,696
Dune - Edição Ilustrada,9781810488226,John Steinbeck;Anton Chekhov,Intrínseca,1925-11-02,eng,762
Memórias Póstumas de Brás Cubas - Edição Atualizada,9782009787960,Baron Schwartz,Bantam Spectra,1935-01-13,deu,1467
The Gifts of Imperfection - Edição Bilíngue,9780245351655,Robert C. Martin;Umberto Eco;Michael Lewis,Simon & Schuster,2014-09-01,por,473
O Idiota - 2ª Edição,9789724627984,Aldous Huxley;Kief Morris,Objetiva,1955-10-16,eng,305
Database Internals - Essentials,9785636102878,Yuval Noah Harari,Knopf,1967-10-10,eng,573
Underworld - Vol. 5,9786294270749,Bessel van der Kolk;George Orwell,Vintage Books,1936-06-13,eng,144
Sprint - Nível Avançado,9784649585319,Neil Gaiman;Italo Calvino,Iluminuras,1990-11-05,por,83
The Left Hand of Darkness - Best Practices,9785808502246,Kay Redfield Jamison,Tor Books,1964-07-17,eng,1104
Meditações - Fundamentals,9780338993083,F. Scott Fitzgerald,Princeton University Press,1976-04-12,eng,1030
Factfulness - Edição Crítica,9787107325502,Richard Feynman;Anton Chekhov,Cambridge University Press,1980-01-16,spa,241
The Martian - Tomo II,9789058760654,Toni Morrison,Record,1926-04-19,por,895
Good to Great - 2022,9781638540106,Chris Richardson;Martin Fowler,Norton,1946-05-14,eng,581
Design Patterns - in Practice,9787347611076,Ursula K. Le Guin,Princeton University Press,1989-10-13,spa,1413
A Arte da Guerra - Advanced Topics,9783072578448,João Guimarães Rosa;Kay Redfield Jamison,Martins Fontes,1955-04-10,eng,1123
The Pragmatic Programmer - Edição Premium,9787238504067,Robert Cialdini,Sams Publishing,1906-07-22,ita,800
The Cherry Orchard - Edição Premium,9780467754814,Sam Newman;Len Bass,Norton,1964-10-12,eng,812
Good Omens - Parte 1,9784625553516,Stuart Russell;Neal Stephenson;Isaac Asimov,Puffin Books,1988-06-15,por,1452
Structure and Interpretation of Computer Programs - Guia Completo,9784135256341,Donald Knuth,Random House,1942-03-25,por,116
Docker Deep Dive - Best Practices,9782181915748,Thomas Mann,Martins Fontes,2009-11-18,eng,1350
A Arte da Sedução - Edição Atualizada,9788131261996,Machado de Assis,Planeta,1997-09-02,eng,706
The C Programming Language - Tomo III,9787604856004,Clarice Lispector,Pragmatic Bookshelf,1982-01-12,eng,797
The Body Keeps the Score - Nova Edição,9781808552212,Cal Newport,Anchor Books,1907-04-26,deu,815
The Pragmatic Programmer - The Complete Guide,9788974571016,Andy Weir,McGraw-Hill,1905-11-01,eng,1197
Vidas Secas - Edição de Bolso,9787492259574,Brian Greene;Stephen Hawking,Tor Books,2023-01-02,rus,1181
Domain-Driven Design - Step by Step,9783467754310,Douglas Adams,Leya,1958-08-25,rus,835
Anathem - Edição Ilustrada,9783888641077,Aurélien Géron,Pearson,2002-11-12,por,284
An Unquiet Mind - Edição Especial,9787731813956,Fyodor Dostoevsky,Leya,1981-05-05,por,326
Good Omens - Applied,9788634181159,Stuart Russell,Pearson,1979-02-17,eng,1097
A Arte da Guerra - Tomo II,9788349549817,Jonathan Franzen,McGraw-Hill,1949-10-12,eng,821
An Unquiet Mind - Guia Completo,9787710787384,Ernest Hemingway,Rocco,1919-11-04,spa,1206
Poder sem Limites - Edição Clássica,9789679211207,Robert Sedgewick,Bloom,1907-05-27,eng,834
A Random Walk Down Wall Street - Edição Crítica,9782679120067,Johann Hari,Objetiva,1971-12-17,por,576
Atomic Habits - 2020,9787813814826,Charles Duhigg;Günter Grass,Princeton University Press,1943-11-02,por,1116
The Time Machine - Vol. 5,9781711387826,Douglas Adams,MIT Press,1972-02-07,fra,1490
O Idiota - 2016,9784629855623,Ivan Turgenev;Simon Sinek,Leya,2013-01-24,eng,821
Nudge - Reference,9785700635219,Simon Sinek;Charles Duhigg,Addison-Wesley,1991-02-14,spa,889
Underworld - 2019,9780367403461,James Baldwin,Princeton University Press,1944-02-25,eng,987
The Hard Thing About Hard Things - 2024,9780517256312,Hermann Hesse,Oxford University Press,1946-11-26,eng,169
Neuromancer - Edição Ilustrada,9789217709791,Ian Goodfellow,Little Brown,2014-08-18,eng,1332
Competitive Programming - Edição Clássica,9780742579385,Trevor Hastie;Toni Morrison,Apress,1997-06-18,spa,1093
Man's Search for Meaning - Vol. 5,9784932374095,Trevor Hastie,Springer,1967-03-11,fra,355
Rendezvous with Rama - Edição Definitiva,9782189084224,Mário de Andrade,Apress,1999-07-10,por,408
Hands-On Machine Learning - Nova Edição,9784670980671,Arthur C. Clarke;Clarice Lispector,Harvard University Press,1954-07-28,eng,515
A Revolução dos Bichos - 2022,9783385485495,Steve McConnell;Anton Chekhov,Pragmatic Bookshelf,2024-10-28,eng,348
O Sol Também Se Levanta - Edição Bilíngue,9789881214867,Siddhartha Mukherjee,Vintage Books,1991-06-08,eng,198
Proust Was a Neuroscientist,9789872446932,Richard Dawkins,Objetiva,1942-01-04,por,360
The Intelligent Investor - Vol. 4,9786175914908,Joseph Heller,Sams Publishing,1924-04-23,eng,1245
The C Programming Language - Patterns and Practices,9782449438385,Robert C. Martin,Companhia das Letras,1916-12-27,eng,294
Invisible Cities - 2024,9781602902299,Jorge Luis Borges,Simon & Schuster,1957-10-23,eng,1370
Freakonomics - Advanced Topics,9787499894228,William Gibson,Intrínseca,1951-08-18,eng,457
A Arte da Sedução - 6ª Edição,9781066972722,Mário de Andrade,Norton,2004-06-12,por,1292
Liar's Poker - 2024,9785538577903,Frederick Brooks,Yale University Press,2017-12-16,por,999
Nudge - Essentials,9780311367948,Mark Richards;Hans Rosling,MIT Press,1927-05-22,eng,1481
Os Miseráveis - Edição Integral,9785471990036,Andy Weir,Springer,1959-02-17,eng,612
Underworld - Edição Ampliada,9782319884373,Arthur C. Clarke,St. Martin's Press,1916-01-26,por,652
O Senhor dos Anéis - Fundamentals,9780805921533,Kent Beck,Little Brown,2017-10-22,por,350
The Mythical Man-Month - Cookbook,9782735154951,William Gibson,Del Rey,1911-03-04,por,1364
The Emperor's New Mind - in Practice,9785763750850,Robert Sedgewick,Addison-Wesley,1940-10-15,rus,432
The Brain That Changes Itself - Illustrated,9787072555676,Viktor Frankl,Yale University Press,1986-08-25,eng,218
High Performance MySQL - Edição Ampliada,9782152141954,Douglas Hofstadter,Vintage Books,2018-03-03,eng,62
Building Microservices - Vol. 4,9785278226239,Milton Hatoum,Sams Publishing,1973-12-24,fra,312
Software Architecture in Practice - Edição Ilustrada,9787309521405,Isabel Allende;Eric Evans,Pearson,1912-12-02,spa,1147
High Performance MySQL - Edição Especial,9782673061069,Ivan Turgenev;Malcolm Gladwell,Del Rey,2017-09-26,zho,618
Measure What Matters - Nova Edição,9784951953776,John Steinbeck,Anchor Books,1998-12-02,por,831
Software Architecture in Practice - 2023,9784687751905,Thomas Mann;Wes McKinney,Princeton University Press,1939-12-11,eng,1222
Notes from Underground - Edição Revisada,9784771297494,Jorge Luis Borges;Leo Tolstoy,Norton,1962-11-15,deu,1195
The Body Keeps the Score - Edição Especial,9786248739056,Orson Scott Card;Dan Ariely,Norton,1909-07-06,eng,550
Pálido Ponto Azul - For Beginners,9780893424299,Aurélien Géron;Trevor Hastie,Sams Publishing,2003-04-17,eng,1452
São Bernardo - For Beginners,9785303575110,Brendan Burns,Houghton Mifflin,1907-08-22,eng,1372
Rework - Patterns and Practices,9781126490227,Charles Duhigg;Machado de Assis,Princeton University Press,1982-12-16,eng,463
Docker Deep Dive - Tomo II,9784433815202,Kurt Vonnegut,Signet Classic,1934-08-07,eng,740
Manual de Epicteto - Best Practices,9783578685985,Yuval Noah Harari,Del Rey,1993-12-11,por,677
The Power of Habit - in Practice,9784147307376,George Orwell;Brendan Burns;Peter Thiel,Prentice Hall,1940-08-18,eng,149
The Big Short - Edição Crítica,9787397629281,Frederick Brooks;Orson Scott Card,Orbit,1933-06-20,eng,695
Estoicismo - Manual do Desenvolvedor,9783702556693,Jorge Luis Borges,Addison-Wesley,1985-12-05,por,623
Ética a Nicômaco - 3ª Edição,9782408577902,William Faulkner;Sam Newman;Stuart Russell,Cosac Naify,1992-08-24,eng,922
The Intelligent Investor - 2018,9785882330292,Betsy Beyer,Anchor Books,2008-10-07,por,1143
The Emperor's New Mind - Vol. 1,9781551740584,Frank Herbert,Simon & Schuster,1930-08-19,eng,195
Rework - Guia Prático,9787692250074,Nick Bostrom,Manning Publications,1968-01-18,eng,831
Fahrenheit 451 - Vol. 1,9781508535522,Aurélien Géron,Iluminuras,1972-12-14,spa,610
Dead Souls - Fundamentals,9787967067772,Marcel Proust;Milton Hatoum;Richard Feynman,Signet Classic,1959-07-13,eng,587
A Wizard of Earthsea - 2021,9786574968298,J.K. Rowling;Christopher Bishop,Doubleday,1949-03-09,eng,953
The Phoenix Project - Applied,9781668436769,Umberto Eco,Tor Books,2021-12-19,por,670
Sapiens - in Practice,9781902292748,Kief Morris;Juan Rulfo,Scribner,2019-05-03,eng,941
The Emperor of All Maladies - 2021,9783791863061,Peter Thiel,Scribner,2016-06-04,por,486
Software Architecture in Practice - Guia Prático,9782393885389,Toni Morrison;William Gibson;Bessel van der Kolk,Tor Books,1978-07-25,spa,461
A Hora da Estrela - 2019,9789968817745,Kent Beck,Cosac Naify,1900-06-10,por,131
Sapiens - Edição Crítica,9785203822611,Mário de Andrade;Donald Knuth;Nick Bostrom,Addison-Wesley,2016-05-06,por,1092
The Phoenix Project - Edição Ilustrada,9785370502224,Leo Tolstoy,Vintage Books,1914-11-06,eng,1481
Pálido Ponto Azul - Edição Revisada,9783409351027,Neil Gaiman;Gabriel García Márquez,Packt Publishing,1994-04-17,por,254
The Road - 2020,9780043255926,Douglas Hofstadter,Orbit,2002-05-05,por,1424
The Left Hand of Darkness,9789246775774,J.K. Rowling;Kurt Vonnegut,Apress,1909-05-26,por,860
Java Concurrency in Practice - Parte 1,9788146632491,Martin Fowler,Pearson,2023-09-23,eng,521
The Elements of Statistical Learning - Parte 3,9781829997306,William Gibson;Thomas Mann,Pragmatic Bookshelf,1965-04-16,rus,286
The Hard Thing About Hard Things - Tomo I,9782070444182,Erich Gamma,Scribner,1933-03-08,deu,733
Accelerate - Edição Ampliada,9786839768281,Peter Thiel,Addison-Wesley,1942-10-02,jpn,914
The Gifts of Imperfection - Tomo II,9784113465307,Wes McKinney;Viktor Frankl,Houghton Mifflin,1978-11-13,eng,1190
Rendezvous with Rama - Edição Ampliada,9781957010656,Eric Evans;James Baldwin;Peter Thiel,Cosac Naify,1922-12-23,por,546
A Arte da Guerra - Vol. 4,9781843982883,William Gibson;Robert C. Martin,Penguin Books,2017-01-11,eng,245
Flash Boys - 2022,9787431296387,Eric Evans;Christopher Bishop,Apress,1900-08-17,eng,515
Clean Architecture - Edição Premium,9789720549709,Bessel van der Kolk;Isabel Allende,Companhia das Letras,2017-11-10,spa,215
The Power of Habit - Edição Definitiva,9782633398648,Chico Buarque;Malcolm Gladwell;Erich Gamma,Prentice Hall,1943-01-25,por,386
Dom Quixote - Illustrated,9786947977575,Isaac Asimov,Doubleday,1986-07-26,eng,576
A Origem das Espécies - Parte 3,9782754951388,Stuart Russell,McGraw-Hill,1971-11-04,eng,84
Thinking Fast and Slow - 2022,9782156813536,Carl Sagan,Packt Publishing,1980-05-03,eng,1042
Mindfulness - Edição Integral,9783214094362,Ernest Hemingway,Simon & Schuster,1979-03-13,eng,595
Uma Breve História do Tempo - Nível Intermediário,9787914413614,Seth Godin;Stephen Hawking,Iluminuras,2012-07-18,eng,216
Memórias Póstumas de Brás Cubas - Edição Clássica,9782419653657,Stuart Russell,Objetiva,2023-09-16,por,555
São Bernardo - Manual do Desenvolvedor,9784659576802,Malcolm Gladwell,Oxford University Press,1916-09-02,deu,1069
Zero to One - Edição Definitiva,9788829347100,Stuart Russell,Tor Books,1946-12-28,eng,133
Sprint - Edição Revisada,9780462329291,James Clear;Steven Skiena,Record,1959-11-18,spa,632
Code Complete - in Action,9781247880754,Seth Godin,Sams Publishing,2015-04-10,por,1162
Anna Karenina - Tomo I,9789038181806,Thomas Pynchon,Bantam Spectra,1961-10-13,eng,631
